length_m,width_m,height_m,isolation_m,lambda_w_per_m_k,eta_percent,t_min_deg_celsius,t_max_deg_celsius,thaw_factor,cool_factor,energetic_value,c_j_per_kg_k,theta_t_deg_celsius
0.5,0.5,0.5,0.02,0.019,200,3,7,1.0,1.0,2000,3180,4
4,5,2.5,0.25,0.5,200,17,23,1.0,1.0,115,2390,21
20,8,5,0.2,0.12,40,-30,-18,1.0,1.0,205,3850,-22
30,10,6,0.2,0.12,45,-30,-18,1.0,1.0,160,3850,-22
40,15,8,0.2,0.14,45,-30,-18,1.0,1.0,140,3850,-22
50,25,8,0.2,0.15,50,-30,-18,1.0,1.0,120,3850,-22
100,50,30,0.2,0.15,55,-30,-18,1.0,1.0,70,3850,-22
120,80,14,0.2,0.15,65,-30,-18,1.0,1.0,50,3850,-22
150,90,14,0.2,0.15,70,-30,-18,1.0,1.0,48,3850,-22
200,100,14,0.2,0.15,70,-30,-18,1.0,1.0,46,3850,-22
100,60,12,0.2,0.15,55,-30,-18,1.0,1.0,40,3850,-22
