Real;Predicted;Time (us)
0.10810811;0.08675532;79.00
0.08108108;0.07322269;7.00
0.08108108;0.07409649;7.00
0.29729730;0.35645717;6.00
0.27027026;0.37345383;6.00
0.48648649;0.51371342;6.00
0.37837839;0.41264936;7.00
0.27027026;0.20557816;6.00
0.08108108;0.07463752;7.00
0.05405405;0.08839601;6.00
0.05405405;0.06669575;6.00
0.08108108;0.06771262;6.00
0.05405405;0.07411641;6.00
0.13513514;0.12742183;6.00
0.43243244;0.43511736;7.00
0.40540540;0.51476586;7.00
0.05405405;0.07300361;7.00
0.05405405;0.05915589;6.00
0.02702703;0.05090209;7.00
0.05405405;0.05004119;7.00
0.05405405;0.06885513;7.00
0.08108108;0.08759302;6.00
0.05405405;0.05660968;7.00
0.08108108;0.08594669;7.00
0.08108108;0.07359501;7.00
0.08108108;0.07269572;7.00
0.08108108;0.08971027;7.00
0.08108108;0.07634580;7.00
0.05405405;0.07185034;6.00
0.05405405;0.05337131;6.00
0.08108108;0.05382612;7.00
0.08108108;0.07861491;7.00
0.05405405;0.06516173;6.00
0.56756759;0.48284516;6.00
0.05405405;0.06304481;6.00
0.05405405;0.07717036;6.00
0.21621622;0.12586625;6.00
0.45945945;0.46638912;7.00
0.18918920;0.18172275;7.00
0.27027026;0.28188059;6.00
0.08108108;0.07557195;6.00
0.08108108;0.12579243;7.00
0.10810811;0.07921277;7.00
0.18918920;0.18273929;6.00
0.08108108;0.08009169;7.00
0.72972971;0.36949396;7.00
0.05405405;0.06885513;6.00
0.08108108;0.07544989;6.00
0.67567569;0.50948060;7.00
0.24324325;0.30283228;7.00
0.05405405;0.05235035;7.00
0.08108108;0.05883396;7.00
0.05405405;0.06950403;6.00
0.05405405;0.07954235;6.00
0.05405405;0.07294197;6.00
0.05405405;0.05192523;6.00
0.27027026;0.29379404;10.00
0.29729730;0.39587790;7.00
0.10810811;0.08396737;6.00
0.43243244;0.36635414;6.00
0.08108108;0.07175045;6.00
0.05405405;0.07607294;7.00
0.40540540;0.36925739;7.00
0.08108108;0.07928426;7.00
0.08108108;0.06763114;7.00
0.10810811;0.08176735;6.00
0.02702703;0.07742546;6.00
0.08108108;0.09364218;7.00
0.08108108;0.09280856;7.00
0.43243244;0.42695320;6.00
0.21621622;0.22004801;6.00
0.05405405;0.07102001;6.00
0.37837839;0.44701707;7.00
0.18918920;0.23909807;6.00
0.08108108;0.07755715;7.00
0.08108108;0.08883545;7.00
0.02702703;0.06145691;6.00
0.02702703;0.06532757;7.00
0.05405405;0.06366070;7.00
0.43243244;0.37860230;6.00
0.05405405;0.06457888;7.00
0.05405405;0.05754493;7.00
0.29729730;0.25171202;7.00
0.08108108;0.07120608;7.00
0.05405405;0.11319589;7.00
0.05405405;0.06675845;6.00
0.21621622;0.19515519;6.00
0.24324325;0.24884638;6.00
0.05405405;0.06174752;7.00
0.08108108;0.07985423;6.00
0.05405405;0.08038159;6.00
0.29729730;0.31260332;10.00
0.05405405;0.06588568;6.00
0.05405405;0.07013217;6.00
0.05405405;0.07941262;6.00
0.05405405;0.07516216;6.00
0.05405405;0.06325940;7.00
0.16216215;0.05873272;7.00
0.29729730;0.28623235;6.00
0.08108108;0.08344095;7.00
0.43243244;0.46758997;6.00
0.05405405;0.06366070;7.00
0.08108108;0.09184373;6.00
0.18918920;0.17429443;7.00
0.37837839;0.36649498;6.00
0.16216215;0.05734029;6.00
0.08108108;0.06040990;7.00
0.02702703;0.06557699;6.00
0.10810811;0.07190545;6.00
0.10810811;0.06935227;7.00
0.05405405;0.06516173;6.00
0.02702703;0.05598535;7.00
0.02702703;0.04710703;7.00
