Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_E1	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Arc1	NI9205_Penning1	NI9205_Penning2	NI9205_Penning	NI9205_MP8l	T1	T2	T3	T4
0	12.42	0.0000001787	100.3	4.736	0.001436	0.001405	0.001409	0.001418	0.001404	0.001403	12.42	11.11	10.46	12.42	12.75	10.78	9.47	391.2	290.5	0.06101	0.0000001787	0.0000002304	0.004761	7.854	1413.11	1413.11	1413.11	1413.11
1	12.1	0.0000001792	100.2	4.734	0.001435	0.001404	0.001408	0.001418	0.001404	0.001403	12.1	10.78	10.13	11.77	12.1	11.44	10.78	391.2	290.5	0.05641	0.0000001792	0.0000002304	0.004761	8.346	1413.11	1413.11	1413.11	1413.11
2	9.142	0.0000001791	100.1	4.734	0.001436	0.001404	0.001408	0.001418	0.001404	0.001403	9.142	9.142	8.814	9.47	8.814	8.814	9.799	390.9	290.5	0.05379	0.0000001791	0.0000002302	0.004761	8.838	1413.11	1413.11	1413.11	1413.11
3	9.142	0.0000001793	100.2	4.736	0.001436	0.001404	0.001409	0.001418	0.001405	0.001403	9.142	8.814	8.157	9.47	8.814	8.814	9.47	390.9	290.2	0.05313	0.0000001793	0.0000002302	0.004761	8.838	1413.11	1413.11	1413.11	1413.11
4	9.47	0.000000179	100.3	4.734	0.001435	0.001404	0.001408	0.001418	0.001404	0.001403	9.47	8.486	8.814	10.46	9.142	9.47	9.799	390.9	290.5	0.05969	0.000000179	0.0000002308	0.004761	8.674	1413.11	1413.11	1413.11	1413.11
5	11.11	0.0000001786	100.5	4.734	0.001436	0.001404	0.001408	0.001418	0.001404	0.001403	11.11	9.47	9.142	10.13	10.46	8.486	10.13	391.2	290.8	0.04558	0.0000001786	0.0000002298	0.004761	7.854	1413.11	1413.11	1413.11	1413.11
6	10.46	0.0000001785	100.3	4.734	0.001435	0.001404	0.001408	0.001418	0.001404	0.001403	10.46	9.142	8.486	9.142	8.814	7.829	9.142	391.2	290.5	0.05608	0.0000001785	0.0000002299	0.004761	7.525	1413.11	1413.11	1413.11	1413.11
7	8.486	0.0000001792	100.4	4.734	0.001436	0.001404	0.001408	0.001418	0.001404	0.001403	8.486	8.157	8.814	9.799	9.142	8.814	10.78	390.9	290.8	0.05543	0.0000001792	0.0000002301	0.004761	8.674	1413.11	1413.11	1413.11	1413.11
8	8.486	0.0000001784	100.3	4.734	0.001435	0.001404	0.001408	0.001418	0.001404	0.001403	8.486	7.501	7.829	8.486	7.829	7.829	8.814	390.9	290.8	0.06002	0.0000001784	0.0000002297	0.004761	7.361	1413.11	1413.11	1413.11	1413.11
9	8.814	0.0000001791	100.5	4.736	0.001436	0.001404	0.001409	0.001418	0.001404	0.001403	8.814	8.486	8.814	9.799	8.814	8.486	9.799	391.2	290.5	0.06298	0.0000001791	0.0000002306	0.004761	8.838	1413.11	1413.11	1413.11	1413.11
10	11.77	0.0000001787	100.2	4.734	0.001436	0.001404	0.001408	0.001418	0.001404	0.001403	11.77	10.78	10.78	12.42	12.75	11.77	11.11	390.9	290.5	0.05707	0.0000001787	0.0000002298	0.004761	8.182	1413.11	1413.11	1413.11	1413.11
11	9.47	0.0000001786	100.3	4.734	0.001436	0.001405	0.001408	0.001418	0.001404	0.001403	9.47	7.501	7.829	9.142	8.157	7.829	10.13	391.5	290.5	0.06429	0.0000001786	0.0000002301	0.004761	7.525	1413.11	1413.11	1413.11	1413.11
12	9.799	0.0000001792	100.3	4.736	0.001435	0.001405	0.001409	0.001418	0.001404	0.001403	9.799	8.814	8.814	10.46	10.13	10.13	10.13	390.9	290.2	0.04788	0.0000001792	0.0000002304	0.004761	8.838	1413.11	1413.11	1413.11	1413.11
13	11.77	0.0000001787	100.3	4.734	0.001436	0.001404	0.001409	0.001418	0.001404	0.001403	11.77	10.78	10.13	11.77	12.1	11.11	9.142	391.2	290.2	0.06265	0.0000001787	0.0000002302	0.004761	8.018	1413.11	1413.11	1413.11	1413.11
