Real;Predicted;Time (us)
0.10810811;0.01592951;826.00
0.08108108;0.16435666;777.00
0.08108108;0.07611331;778.00
0.29729730;0.00697358;774.00
0.27027026;-0.20860623;777.00
0.48648649;0.61460030;774.00
0.37837839;0.08177640;778.00
0.27027026;-0.06829727;778.00
0.08108108;0.17577365;774.00
0.05405405;-0.07686362;774.00
0.05405405;-0.02985874;778.00
0.08108108;0.06296064;778.00
0.05405405;0.13680981;774.00
0.13513514;0.35308418;774.00
0.43243244;-0.27693895;777.00
0.40540540;0.18015355;778.00
0.05405405;0.14158356;774.00
0.05405405;-0.12078755;774.00
0.02702703;-0.37165296;778.00
0.05405405;-0.04404751;778.00
0.05405405;-0.08359625;774.00
0.08108108;-0.00681109;778.00
0.05405405;-0.03306530;778.00
0.08108108;0.01891106;778.00
0.08108108;-0.01247425;778.00
0.08108108;-0.06689376;778.00
0.08108108;0.07340238;778.00
0.08108108;-0.00805951;778.00
0.05405405;0.01475154;778.00
0.05405405;-0.04991693;777.00
0.08108108;0.07894088;778.00
0.08108108;0.12351341;774.00
0.05405405;-0.01932351;778.00
0.56756759;0.71877986;778.00
0.05405405;0.00656304;778.00
0.05405405;0.05956945;774.00
0.21621622;0.13230455;778.00
0.45945945;0.12939410;778.00
0.18918920;-0.32285389;777.00
0.27027026;0.44430661;774.00
0.08108108;0.05646819;778.00
0.08108108;-0.04143235;778.00
0.10810811;-0.06066179;778.00
0.18918920;-0.15810671;773.00
0.08108108;0.08814759;778.00
0.72972971;0.56772798;778.00
0.05405405;-0.08359625;778.00
0.08108108;-0.01067924;778.00
0.67567569;0.67528230;778.00
0.24324325;0.52538848;778.00
0.05405405;-0.00384824;778.00
0.08108108;0.23366256;778.00
0.05405405;-0.07069546;778.00
0.05405405;0.06558101;778.00
0.05405405;0.19513465;774.00
0.05405405;0.16677216;778.00
0.27027026;0.22166961;777.00
0.29729730;0.49984583;777.00
0.10810811;0.09726076;774.00
0.43243244;-0.01765022;778.00
0.08108108;0.03691707;778.00
0.05405405;0.02877357;778.00
0.40540540;0.27168077;774.00
0.08108108;0.08989187;778.00
0.08108108;0.03824304;778.00
0.10810811;0.02955849;778.00
0.02702703;0.19061005;774.00
0.08108108;0.17302389;778.00
0.08108108;0.20575501;778.00
