Real;Predicted;Time (us)
0.10810811;-0.21849458;77.00
0.08108108;0.11254869;12.00
0.08108108;-0.00934434;12.00
0.29729730;-0.44346610;12.00
0.27027026;-0.45178604;12.00
0.48648649;0.07978789;11.00
0.37837839;-0.43887666;11.00
0.27027026;0.15927637;11.00
0.08108108;0.10460620;12.00
0.05405405;0.11041109;12.00
0.05405405;0.16659908;12.00
0.08108108;0.41059729;11.00
0.05405405;0.14831950;12.00
0.13513514;0.24840519;12.00
0.43243244;-0.53619516;12.00
0.40540540;-0.34715480;11.00
0.05405405;0.19465914;12.00
0.05405405;0.07032122;11.00
0.02702703;-0.12980834;12.00
0.05405405;0.11621575;12.00
0.05405405;0.12834582;12.00
0.08108108;-0.19569735;12.00
0.05405405;0.10998388;11.00
0.08108108;-0.09589264;12.00
0.08108108;0.29068637;11.00
0.08108108;0.16948594;11.00
0.08108108;0.13412726;12.00
0.08108108;-0.21681364;12.00
0.05405405;-0.11649626;11.00
0.05405405;0.12764935;12.00
0.08108108;0.13983823;11.00
0.08108108;0.12522694;11.00
0.05405405;0.15179375;12.00
0.56756759;0.14446262;12.00
0.05405405;0.11178596;12.00
0.05405405;-0.07377996;12.00
0.21621622;0.15024826;12.00
0.45945945;-0.31621265;12.00
0.18918920;0.01974810;11.00
0.27027026;0.13274622;12.00
0.08108108;0.12646693;11.00
0.08108108;-0.20615932;12.00
0.10810811;-0.15527155;11.00
0.18918920;-0.47463778;12.00
0.08108108;0.13264543;11.00
0.72972971;0.42804092;11.00
0.05405405;0.12834582;11.00
0.08108108;-0.22329843;11.00
0.67567569;0.52291077;12.00
0.24324325;0.42420992;11.00
0.05405405;0.22301067;12.00
0.08108108;0.16733606;11.00
0.05405405;-0.24424803;12.00
0.05405405;0.13071865;12.00
0.05405405;0.08701937;11.00
0.05405405;0.15093192;12.00
0.27027026;-0.14772940;12.00
0.29729730;0.05315065;12.00
0.10810811;0.13689762;12.00
0.43243244;-0.32545364;12.00
0.08108108;-0.16507414;12.00
0.05405405;0.21816327;12.00
0.40540540;0.29409054;12.00
0.08108108;-0.01758446;12.00
0.08108108;0.11796446;11.00
0.10810811;0.13111632;12.00
0.02702703;0.12508970;11.00
0.08108108;0.13990836;11.00
0.08108108;0.15310831;12.00
0.43243244;-0.31531596;11.00
0.21621622;0.20553187;11.00
0.05405405;0.05836632;12.00
0.37837839;0.01905194;12.00
0.18918920;0.37853438;12.00
0.08108108;0.14505237;12.00
0.08108108;0.13769175;11.00
0.02702703;0.38313329;12.00
0.02702703;-0.10398264;12.00
0.05405405;0.11371347;11.00
0.43243244;0.33037755;11.00
0.05405405;0.12985855;12.00
0.05405405;0.17731339;12.00
0.29729730;0.32518268;11.00
0.08108108;0.01389235;11.00
0.05405405;0.15947445;11.00
0.05405405;0.11603744;11.00
0.21621622;0.18332303;12.00
0.24324325;0.26182765;12.00
