Period,net_income,depreciation,capex,working_capital_change,owner_earnings
2025Q1,17500000.0,2000000.0,-2000000.0,-17400000.0,100000.0
2024Q4,21500000.0,2800000.0,-4400000.0,115600000.0,135500000.0
2024Q3,21700000.0,5200000.0,-2400000.0,17400000.0,41900000.0
2024Q2,-7800000.0,4000000.0,-2700000.0,31100000.0,24600000.0
2024Q1,-6200000.0,2900000.0,-2300000.0,38000000.0,32400000.0
2023Q4,-24000000.0,4400000.0,-2100000.0,-9399900.0,-31099900.0
2023Q3,-45800000.0,2700000.0,-2000000.0,28199900.0,-16900100.0
2023Q2,-36700000.0,2800000.0,-2800000.0,53500000.0,16800000.0
2023Q1,-40900000.0,2700000.0,-2500000.0,29900000.0,-10800000.0
2022Q4,-58300000.0,4300000.0,-1400000.0,56199900.0,799900.0
2022Q3,-66400000.0,2900000.0,-2100000.0,61600100.0,-3999900.0
2022Q2,-95500000.0,3000000.0,-2600000.0,75300000.0,-19800000.0
2022Q1,-77500000.0,3600000.0,-2700000.0,-227800000.0,-304400000.0
2021Q4,-109900000.0,5600000.0,-4100000.0,180000000.0,71600000.0
2021Q3,-133000000.0,3800000.0,-2400000.0,120200000.0,-11400000.0
2021Q2,-178600000.0,3700000.0,-2700000.0,163200000.0,-14400000.0
2021Q1,-99600000.0,3500000.0,-2000000.0,6800000.0,-91300000.0
2020Q4,-133300000.0,5000000.0,-1600000.0,-988000000.0,-1117900000.0
2020Q3,-85200000.0,3500000.0,-1700000.0,278300000.0,194900000.0
2020Q2,-38900000.0,3400000.0,-1200000.0,0.0,-36700000.0
2020Q1,-105600000.0,3700000.0,-2700000.0,0.0,-104600000.0
2019Q4,0.0,2500000.0,-4200000.0,0.0,-1700000.0
2019Q3,-100200000.0,2400000.0,-7900000.0,0.0,-105700000.0
2018Q4,0.0,600000.0,-3500000.0,0.0,-2900000.0
