turbine_type,pn_max_kw,height_min_m,height_max_m,rotor_diameter_m,has_power_curve,has_power_coefficient
E-82/2000,2,78,138,82,true,true
V90/2000,2,80,80,90,false,true
E-82/3000,3,69,84,82,true,false
N131/3000,3,99,134,131,true,true
S122/3000,3,136,139,122,false,true
AD116/5000,5,90,102,116,true,false
V164/8000,8,105,140,164,true,false
SCD168/8000,8,105,140,168,true,false
