Period,net_income,depreciation,capex,working_capital_change,owner_earnings
2025Q1,24780000000.0,2661000000.0,-3071000000.0,14772000000.0,39142000000.0
2024Q4,36330000000.0,3080000000.0,-2940000000.0,-12280000000.0,24190000000.0
2024Q3,14736000000.0,2911000000.0,-10290000000.0,17216000000.0,24573000000.0
2024Q2,21448000000.0,2850000000.0,5231000000.0,10783000000.0,40312000000.0
2024Q1,23636000000.0,2836000000.0,-1996000000.0,5125000000.0,29601000000.0
2023Q4,33916000000.0,2848000000.0,-2392000000.0,-11461000000.0,22911000000.0
2023Q3,22956000000.0,2653000000.0,-6122000000.0,-562000000.0,18925000000.0
2023Q2,19881000000.0,3052000000.0,1866000000.0,-4858000000.0,19941000000.0
2023Q1,24160000000.0,2898000000.0,-2916000000.0,-1347000000.0,22795000000.0
2022Q4,29998000000.0,2916000000.0,-3787000000.0,-10068000000.0,19059000000.0
2022Q3,20721000000.0,2865000000.0,-3289000000.0,996000000.0,21293000000.0
2022Q2,19442000000.0,2805000000.0,-2102000000.0,8253000000.0,28398000000.0
2022Q1,25010000000.0,2737000000.0,-2514000000.0,14908000000.0,40141000000.0
2021Q4,34630000000.0,2697000000.0,-2803000000.0,3775000000.0,38299000000.0
2021Q3,20551000000.0,2989000000.0,-3223000000.0,-2686000000.0,17631000000.0
2021Q2,21744000000.0,2832000000.0,-2093000000.0,8411000000.0,30894000000.0
2021Q1,23630000000.0,2797000000.0,-2269000000.0,6519000000.0,30677000000.0
2020Q4,28755000000.0,2666000000.0,-3500000000.0,16722000000.0,44643000000.0
2020Q3,12673000000.0,2702000000.0,-1784000000.0,6426000000.0,20017000000.0
2020Q2,11253000000.0,2752000000.0,-1565000000.0,2912000000.0,15352000000.0
2020Q1,11249000000.0,2786000000.0,-1853000000.0,13411000000.0,25593000000.0
2019Q4,22236000000.0,2816000000.0,-2107000000.0,-3969000000.0,18976000000.0
2019Q3,13686000000.0,3179000000.0,-2777000000.0,-11832000000.0,2256000000.0
2019Q2,10044000000.0,2933000000.0,-2000000000.0,-15695000000.0,-4718000000.0
2019Q1,11561000000.0,3040000000.0,-2363000000.0,2971000000.0,15209000000.0
2018Q4,19965000000.0,3395000000.0,-3355000000.0,-17135000000.0,2870000000.0
2018Q3,14125000000.0,2754000000.0,-3041000000.0,11803000000.0,25641000000.0
2018Q2,11519000000.0,2665000000.0,-3267000000.0,13520000000.0,24437000000.0
2018Q1,13822000000.0,2739000000.0,-4195000000.0,-12711000000.0,-345000000.0
2017Q4,20065000000.0,2745000000.0,-2810000000.0,-191000000.0,19809000000.0
2017Q3,10714000000.0,2484000000.0,-3865000000.0,3742000000.0,13075000000.0
2017Q2,8717000000.0,2354000000.0,-2277000000.0,-2925000000.0,5869000000.0
2017Q1,11029000000.0,2332000000.0,-2975000000.0,-9446000000.0,940000000.0
2016Q4,17891000000.0,2987000000.0,-3334000000.0,8661000000.0,26205000000.0
2016Q3,9014000000.0,2548000000.0,-3977000000.0,-5588000000.0,1997000000.0
2016Q2,7796000000.0,2526000000.0,-2809000000.0,-2948000000.0,4565000000.0
2016Q1,10516000000.0,2477000000.0,-2336000000.0,-19200000000.0,-8543000000.0
2015Q4,18361000000.0,2954000000.0,-3612000000.0,8641000000.0,26344000000.0
2015Q3,11124000000.0,3119000000.0,-3618000000.0,-3100000000.0,7525000000.0
2015Q2,10677000000.0,3084000000.0,-2043000000.0,0.0,11718000000.0
