uuid    event_type  zams_mass_1 zams_mass_2 zams_orbital_period zams_separation zams_eccentricity   metallicity probability random_seed initial_mass_accretor   initial_mass_donor  initial_radius_accretor initial_radius_donor    initial_separation  initial_orbital_period  initial_stellar_type_accretor   initial_stellar_type_donor  initial_orbital_angular_momentum    initial_stability   initial_starnum_accretor    initial_starnum_donor   initial_time    initial_disk    final_mass_accretor final_mass_donor    final_radius_accretor   final_radius_donor  final_separation    final_orbital_period    final_stellar_type_accretor final_stellar_type_donor    final_orbital_angular_momentum  final_stability final_starnum_accretor  final_starnum_donor final_time  final_disk  total_mass_lost total_mass_accreted total_mass_transferred  total_mass_lost_from_accretor   total_mass_lost_from_disk   total_time_spent_masstransfer   total_orbital_angular_momentum_lost_through_mass_loss_from_star total_orbital_angular_momentum_lost_through_mass_loss_from_disk total_orbital_angular_momentum_lost_through_mass_loss   total_orbital_angular_momentum_stream_excess_returned_to_orbit  total_orbital_angular_momentum_stellar_overspin_returned_to_orbit   total_orbital_angular_momentum_stream_torque_with_orbit_gain    total_orbital_angular_momentum_stream_torque_with_orbit_loss    total_mass_transferred_through_disk mass_transferred_through_disk_MT_category_COLD  mass_transferred_through_disk_MT_category_UNSTABLE  mass_transferred_through_disk_MT_category_HOT   mass_transferred_through_disk_MT_category_PARTIALLY_THICK   mass_transferred_through_disk_MT_category_THICK total_time_spent_disk_masstransfer  total_time_spent_disk_masstransfer_MT_category_COLD total_time_spent_disk_masstransfer_MT_category_UNSTABLE total_time_spent_disk_masstransfer_MT_category_HOT  total_time_spent_disk_masstransfer_MT_category_PARTIALLY_THICK  total_time_spent_disk_masstransfer_MT_category_THICK    time_weighted_sum_synchronicity_factor  mass_weighted_sum_synchronicity_factor  RLOF_episode_number initial_accretor_should_have_undergone_CHE  initial_donor_should_have_undergone_CHE final_accretor_should_have_undergone_CHE    final_donor_should_have_undergone_CHE   metallicity
B2D5742C-C96C-42EB-8A44-754E4D9E867F    RLOF    29.9112 3.8264  6.58795 47.7947 0   0.00584341  0.000100814 83218   3.83034 28.805  1.96603 26.4416 47.6297 0.0182465   1   2   2.64102e+06 -1  1   0   6.541523462074e+06  0   0   31.9906 1e-10   649.435 0   0   15  4   0   -1  1   0   6.541544866802e+06  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.005843414133735175
B2D5742C-C96C-42EB-8A44-754E4D9E867F    RLOF    29.9112 3.8264  6.58795 47.7947 0   0.00584341  0.000100814 83218   3.83034 28.805  1.96603 26.4416 47.6297 0.0182465   1   2   2.64102e+06 -1  1   0   6.541523462074e+06  0   0   31.9906 1e-10   649.435 0   0   15  4   0   -1  1   0   6.541544866802e+06  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.005843414133735175
A49113BE-0442-4621-A2BA-C571AF463B26    RLOF    29.9112 18.732  3117.09 3278.55 0   0.00584341  1.13471e-05 16879   19.5185 21.8671 7.98582 1362.67 3504.85 10.2279 1   4   7.78255e+07 0   1   0   6.943637879831e+06  1   8.99867 24.3146 3.81544e-05 7.80293 -1017.31    12.2574 14  1   0   -1  0   1   7.231683509637e+06  0   0   2.668   2.668   0   0   283015  0   0   0   3.83791e+06 676533  0   -4.47631e+06    2.668   0.000299081 2.6677  0   0   0   283015  11719.4 271296  0   0   0   292840  0.0502997   1   0   0   0   0   0.005843414133735175
8ED2F2DE-9964-45E6-BF79-1295F4644C0F    RLOF    29.9112 18.732  3117.09 3278.55 0   0.00584341  1.13471e-05 16879   19.5185 21.8671 7.98582 1362.67 3504.85 10.2279 1   4   7.78255e+07 0   1   0   6.943637879831e+06  1   8.99867 24.3146 3.81544e-05 7.80293 -801.683    12.2574 14  1   0   -1  0   1   7.231683509637e+06  0   0   2.668   2.668   0   0   283015  0   0   0   3.83791e+06 676533  0   -4.47631e+06    2.668   0.000299081 2.6677  0   0   0   283015  11719.4 271296  0   0   0   292840  0.0502997   1   0   0   0   0   0.005843414133735175
8672BBF6-AFF8-47B4-81D7-80B2CE201729    RLOF    29.9112 18.732  3117.09 3278.55 0   0.00584341  1.13471e-05 16879   19.5185 21.8671 7.98582 1362.67 3504.85 10.2279 1   4   7.78255e+07 0   1   0   6.943637879831e+06  1   8.99867 24.3146 3.81544e-05 7.80293 -3767.38    12.2574 14  1   0   -1  0   1   7.231683509637e+06  0   0   2.668   2.668   0   0   283015  0   0   0   3.83791e+06 676533  0   -4.47631e+06    2.668   0.000299081 2.6677  0   0   0   283015  11719.4 271296  0   0   0   292840  0.0502997   1   0   0   0   0   0.005843414133735175
09EDB9E4-9173-4486-80B7-FE38AA781CA4    RLOF    29.9112 18.732  3117.09 3278.55 0   0.00584341  1.13471e-05 16879   19.5185 21.8671 7.98582 1362.67 3504.85 10.2279 1   4   7.78255e+07 0   1   0   6.943637879831e+06  1   8.99867 24.3146 3.81544e-05 7.80293 2592.85 7.25374 14  1   3.20499e+07 -1  0   1   7.231683509637e+06  0   0   2.668   2.668   0   0   283015  0   0   0   3.83791e+06 676533  0   -4.47631e+06    2.668   0.000299081 2.6677  0   0   0   283015  11719.4 271296  0   0   0   178546  0.0502997   1   0   0   0   0   0.005843414133735175
09EDB9E4-9173-4486-80B7-FE38AA781CA4    RLOF    29.9112 18.732  3117.09 3278.55 0   0.00584341  1.13471e-05 16879   9.01801 20.2899 3.82363e-05 1096.29 2433.53 7.03185 14  4   2.93355e+07 0   0   1   1.155781717694e+07  1   9.01828 8.69779 3.82375e-05 1039.28 2783.71 11.0646 14  4   1.94851e+07 -1  0   1   1.156387370623e+07  0   -11.5363    11.5257 11.5257 -11.5363    0   5865.04 -1.82729e+07    0   -1.82729e+07    8.21201e+06 0   0   -7.93361e+06    11.5257 0   11.5257 0   0   0   5865.04 0   5865.04 0   0   0   177.433 0.311114    2   0   0   0   0   0.005843414133735175
E74506FB-924C-42E2-89BD-EDD254B9E9EB    RLOF    29.9112 3.8264  143.301 372.431 0   0.00584341  5.91861e-05 76333   3.82659 28.7933 1.96488 213.817 385.118 0.41962 1   2   7.50122e+06 -1  1   0   6.547216744155e+06  0   0   29.894  1e-10   482.711 0   0   15  4   0   -1  1   0   6.547236599018e+06  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.005843414133735175
6F797F32-4B6E-48A6-8753-F464CADF3C3E    RLOF    75.2227 9.49033 6.58795 64.9618 0   0.00584341  3.03984e-05 2801    9.53541 66.1761 3.45353 32.8919 59.9666 0.0169235   1   1   1.11272e+07 -1  1   0   3.077039133726e+06  0   0   68.1403 1e-10   25.8927 0   0   15  1   0   -1  1   0   3.077043044838e+06  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.005843414133735175
6F797F32-4B6E-48A6-8753-F464CADF3C3E    RLOF    75.2227 9.49033 6.58795 64.9618 0   0.00584341  3.03984e-05 2801    9.53541 66.1761 3.45353 32.8919 59.9666 0.0169235   1   1   1.11272e+07 -1  1   0   3.077039133726e+06  0   0   68.1403 1e-10   25.8927 0   0   15  1   0   -1  1   0   3.077043044838e+06  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0.005843414133735175
